Marca,Modelo,Tema,Porcentaje_Normalizado
Xiaomi,Xiaomi Poco X6 Pro,Cámara,8.82
Xiaomi,Xiaomi Poco X6 Pro,Batería,35.29
Xiaomi,Xiaomi Poco X6 Pro,Precio,17.65
Xiaomi,Xiaomi Poco X6 Pro,Rendimiento,20.59
Xiaomi,Xiaomi Poco X6 Pro,Pantalla,17.65
Xiaomi,Xiaomi Redmi 13C,Cámara,6.25
Xiaomi,Xiaomi Redmi 13C,Batería,25.0
Xiaomi,Xiaomi Redmi 13C,Precio,25.0
Xiaomi,Xiaomi Redmi 13C,Rendimiento,31.25
Xiaomi,Xiaomi Redmi 13C,Pantalla,12.5
Xiaomi,Xiaomi Redmi Note 13,Cámara,17.02
Xiaomi,Xiaomi Redmi Note 13,Batería,12.77
Xiaomi,Xiaomi Redmi Note 13,Precio,19.15
Xiaomi,Xiaomi Redmi Note 13,Rendimiento,31.91
Xiaomi,Xiaomi Redmi Note 13,Pantalla,19.15
Xiaomi,Xiaomi Redmi Note 13 Pro,Cámara,6.25
Xiaomi,Xiaomi Redmi Note 13 Pro,Batería,46.88
Xiaomi,Xiaomi Redmi Note 13 Pro,Precio,12.5
Xiaomi,Xiaomi Redmi Note 13 Pro,Rendimiento,25.0
Xiaomi,Xiaomi Redmi Note 13 Pro,Pantalla,9.38
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Cámara,11.54
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Batería,57.69
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Precio,0.0
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Rendimiento,19.23
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Pantalla,11.54
Samsung,Samsung Galaxy A15,Cámara,16.67
Samsung,Samsung Galaxy A15,Batería,33.33
Samsung,Samsung Galaxy A15,Precio,6.41
Samsung,Samsung Galaxy A15,Rendimiento,23.08
Samsung,Samsung Galaxy A15,Pantalla,20.51
Samsung,Samsung Galaxy A25,Cámara,11.54
Samsung,Samsung Galaxy A25,Batería,36.54
Samsung,Samsung Galaxy A25,Precio,7.69
Samsung,Samsung Galaxy A25,Rendimiento,34.62
Samsung,Samsung Galaxy A25,Pantalla,9.62
Samsung,Samsung Galaxy A35,Cámara,7.69
Samsung,Samsung Galaxy A35,Batería,46.15
Samsung,Samsung Galaxy A35,Precio,10.26
Samsung,Samsung Galaxy A35,Rendimiento,28.21
Samsung,Samsung Galaxy A35,Pantalla,7.69
Samsung,Samsung Galaxy A55,Cámara,16.46
Samsung,Samsung Galaxy A55,Batería,30.38
Samsung,Samsung Galaxy A55,Precio,18.99
Samsung,Samsung Galaxy A55,Rendimiento,20.25
Samsung,Samsung Galaxy A55,Pantalla,13.92
Samsung,Samsung S24 Ultra,Cámara,12.12
Samsung,Samsung S24 Ultra,Batería,28.28
Samsung,Samsung S24 Ultra,Precio,13.13
Samsung,Samsung S24 Ultra,Rendimiento,23.23
Samsung,Samsung S24 Ultra,Pantalla,23.23
Apple,IPhone 11,Cámara,4.0
Apple,IPhone 11,Batería,48.0
Apple,IPhone 11,Precio,24.0
Apple,IPhone 11,Rendimiento,12.0
Apple,IPhone 11,Pantalla,12.0
Apple,IPhone 13,Cámara,50.0
Apple,IPhone 13,Batería,0.0
Apple,IPhone 13,Precio,0.0
Apple,IPhone 13,Rendimiento,50.0
Apple,IPhone 13,Pantalla,0.0
Apple,IPhone 14,Cámara,16.67
Apple,IPhone 14,Batería,27.78
Apple,IPhone 14,Precio,27.78
Apple,IPhone 14,Rendimiento,16.67
Apple,IPhone 14,Pantalla,11.11
Apple,IPhone 15,Cámara,0.0
Apple,IPhone 15,Batería,54.55
Apple,IPhone 15,Precio,27.27
Apple,IPhone 15,Rendimiento,18.18
Apple,IPhone 15,Pantalla,0.0
