comentario,calificacion,marca,modelo
Si corresponde a la foto tiene un excelente rendimiento y capacidad su diseño es novedoso Ya llegó el domicilio del celular,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
El tamaño es el apropiado y para cargar fácilmente; la calidad de imágen es optima causada por sus excelentes camaras de gran nitidez que facilita mi labor. La rapidez de subida y bajada de imágenes nítidas es notable gracias a su capacidad interna.,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente teléfono con su funda cargador un teléfono muy bueno fluido y económico para tener ese procesador y ram lo único que falta es comprar el adaptador al cargador pero no es gran cosa recomendado comprar por línea,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El producto es excelente, llega con su respectivo estuche y cargador el cual es rapidísimo, el celular a la mano es como un gama alta y su procesador es de lo mejor que hay.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Cumplio con mis expectativas. Igual que la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es excelente, es igual al de la foto y porsupuesto que es de gran calidad, llegó antes de lo esperado.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El producto es excelente, llega con su respectivo estuche y cargador el cual es rapidísimo, el celular a la mano es como un gama alta y su procesador es de lo mejor que hay.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Cumplio con mis expectativas. Igual que la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es excelente, es igual al de la foto y porsupuesto que es de gran calidad, llegó antes de lo esperado.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Muy bien,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente calidad. Procesador potente que permite que el celular vuele!,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Buena calidad, buen tiempo de envío y todo bien sellado",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Muy buena calidad y rápido,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Cumple con las expectativas,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
El teléfono es de muy buena calidad por su precio y lo que ofrece,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es igual al de la página, 100% seguro la compra, excelente calidad del producto",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es unos de los mejores terminales de esta marca, muy recomendable",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Producto original y entrega rápido,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Buen producto, un poquito grandes, parece de buena calidad",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Exelente calidad,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El teléfono es muy bueno comparado con el precio, lo que me parece muy malo es la garantía que da está tienda que es solo de 1 mes, en otras tiendan te dan 6 meses o 1 año de garantía, me di cuenta después de varios días, pero si pueden escoger otra tienda con mejor garantía sería mejor opción",3,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El equipo me salio dañado, lo encendí, inicie la configuración y los colores de la pantalla se veían dañados. Espero que la garantía responda y pueda tener un equipo nuevo u otro",1,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Me gustó,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Es idéntico al d3 la foto y funciona super bien,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Está bien en todos los sentidos,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Totalmente idéntico,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Todo excelente,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Está bien en todos los sentidos,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Totalmente idéntico,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Todo excelente,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Corresponde a lo especificado en el anuncio,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Excelente, funcionalidad y velocidad",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Buena calidad, el tamaño corresponde y es igual a la foto",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Perfecto el dispositivo, cumple con todas las características",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Todo perfecto tamaño calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Simplemente perfecto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es justo lo que comore, llegó en el tiempo acordado de entrega, sellado y en perfecto estado.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es un producto muy bueno, pero no perfecto, a la hora de jugar con el la batería no dura tanto como me gustaría y dos veces me saco de partidas online lo cual frustra un poco, pero la pantalla me a sorprendido de más pues puede correr videos a 4k no de la mejor manera pero si puede con respecto a todo lo de más a cumplido mis expectativas",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
