Marca,Temas,Total_Comentarios,Calificacion_Promedio
Apple,Batería,151,4.814569536423841
Apple,Cámara,851,4.951821386603996
Apple,Pantalla,427,4.892271662763466
Apple,Precio,195,4.948717948717949
Apple,Rendimiento,202,4.846534653465347
Samsung,Batería,695,4.543884892086331
Samsung,Cámara,1526,4.90170380078637
Samsung,Pantalla,638,4.821316614420063
Samsung,Precio,510,4.766666666666667
Samsung,Rendimiento,1120,4.738392857142857
Xiaomi,Batería,278,4.68705035971223
Xiaomi,Cámara,695,4.880575539568345
Xiaomi,Pantalla,197,4.756345177664975
Xiaomi,Precio,338,4.831360946745562
Xiaomi,Rendimiento,299,4.739130434782608
