Model,Comment,Rating,Codigo
Apple iPhone 11 (128 GB) - Negro,"Es un dispositivo magnifico, se adapta a la necesidad de cualquier persona y exigencia. Lo uso para el trabajo y la bateria aguanta todo el día; cuando descanso, me pongo a jugar y los juegos van muy fluidos. También soy fotógrafo y he sacado unas capturas increíbles, envidiables y a la altura de una camara profesional.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente precio para un equipo tan completo, la cámara es increíble.",5,MI5
Apple iPhone 11 (128 GB) - Negro,No sabía que llegaba sin cargador.,4,MI5
Apple iPhone 11 (128 GB) - Negro,"Ha sido excelente este producto. El celular ha sido muy rápido, la cámara es buenísima y en general la capacidad es muy adecuada. Al ser mi primer celular de apple es fácil acostumbrarse al sistema ios. Lo recomiendo mucho.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Buen producto, totalmente nuevo.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente, recomendado, precio económico, responde todas las inquietudes con educación y hasta ahora 20 días despues el equipo super bien.",5,MI5
Apple iPhone 11 (128 GB) - Negro,El paquete es original y hasta el momento el funcionamiento es de 98/100.,4,MI5
Apple iPhone 11 (128 GB) - Negro,"Tiene una falla , el microfono esta defectuoso.",4,MI5
Apple iPhone 11 (128 GB) - Negro,"Iff espectacular, era lo esperado y muy buen precio.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente producto, lo que se puede esperar por parte de apple.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente producto, muy satisfecho con la compra.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Muy acorde a lo esperado.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Justo lo que se ofrece, producto nuevo, original y de gran calidad.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente producto, muy bueno para hoy en día.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Tal cual lo que oferta es lo que se obtiene. Es puntual. Gracias!.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Buenísimo hasta el momento, todo depende del cuidado de cada quien.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Tremendo dispositivo. Venía muchos años de usar motorola, pero, me enganchó muchísimo este iphone. No es necesario tener la última versión si lo que se busca es tener relación calidad/precio.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Mi producto me pareció tal como lo indican las especificaciones; 100% recomendado.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Me encanto, buen celular valio la pena.",5,MI5
